id,last,first,bat,throw,team,g,g_p,g_sp,g_rp,g_c,g_1b,g_2b,g_3b,g_ss,g_lf,g_cf,g_rf,g_of,g_dh,g_ph,g_pr,first_g,last_g,season
silsc001,Silseth,Chase,R,R,ANA,16,16,8,8,0,0,0,0,0,0,0,0,0,0,0,0,20230426,20230929,2023
simsl001,Sims,Lucas,R,R,CIN,67,67,0,67,0,0,0,0,0,0,0,0,0,0,0,0,20230419,20230930,2023
singb001,Singer,Brady,R,R,KCA,29,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,20230403,20230918,2023
singj001,Singleton,Jon,L,L,HOU,27,0,0,0,0,14,0,0,0,0,0,0,0,4,12,0,20230808,20231022,2023
singj001,Singleton,Jon,L,L,MIL,11,0,0,0,0,5,0,0,0,0,0,0,0,3,3,0,20230603,20230614,2023
sirij001,Siri,Jose,R,R,TBA,102,0,0,0,0,0,0,0,0,0,101,0,101,1,2,4,20230330,20231003,2023
skubt001,Skubal,Tarik,R,L,DET,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,20230704,20230927,2023
slata001,Slater,Austin,R,R,SFN,89,0,0,0,0,0,0,0,0,34,39,9,74,5,39,4,20230424,20230930,2023
smale001,Small,Ethan,L,L,MIL,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,20230526,20230928,2023
smeld001,Smeltzer,Devin,R,L,MIA,9,9,1,8,0,0,0,0,0,0,0,0,0,0,0,0,20230410,20230907,2023
smita001,Smith-Shawver,AJ,R,R,ATL,7,7,5,2,0,0,0,0,0,0,0,0,0,0,0,0,20230604,20231011,2023
smitc007,Smith,Chad,R,R,OAK,10,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,20230412,20230723,2023
smitc008,Smith-Njigba,Canaan,L,R,PIT,15,0,0,0,0,0,0,0,0,2,0,10,12,0,3,0,20230330,20230609,2023
smitd008,Smith,Dominic,L,L,WAS,153,0,0,0,0,151,0,0,0,0,0,0,0,1,4,0,20230330,20231001,2023
smitd009,Smith,Drew,R,R,NYN,63,62,0,62,0,0,0,0,0,0,0,0,0,0,0,0,20230330,20230930,2023
smitj007,Smith,Josh,L,R,TEX,93,0,0,0,0,0,3,25,34,20,0,0,20,9,8,11,20230330,20231031,2023
smitk003,Smith,Kevin,R,R,OAK,49,0,0,0,0,0,0,17,34,0,0,0,0,1,5,2,20230410,20230924,2023
smitp002,Smith,Pavin,L,L,ARI,80,0,0,0,0,10,0,0,0,0,0,24,24,33,26,0,20230409,20231101,2023
smitw002,Smith,Will,R,L,TEX,65,65,0,65,0,0,0,0,0,0,0,0,0,0,0,0,20230402,20231031,2023
smitw003,Smith,Will,R,R,LAN,129,0,0,0,114,0,0,0,0,0,0,0,0,14,4,0,20230330,20231011,2023
smitw003,Smith,Will,R,R,NLS,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20230711,20230711,2023
smyld001,Smyly,Drew,L,L,CHN,41,41,23,18,0,0,0,0,0,0,0,0,0,0,0,0,20230403,20231001,2023
sneak001,Snead,Kirby,L,L,OAK,15,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0,20230801,20230903,2023
snelb001,Snell,Blake,L,L,SDN,32,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,20230330,20230925,2023
snidc001,Snider,Collin,R,R,KCA,20,20,1,19,0,0,0,0,0,0,0,0,0,0,0,0,20230702,20230930,2023
sodet001,Soderstrom,Tyler,L,R,OAK,45,0,0,0,15,10,0,0,0,0,0,0,0,18,8,0,20230714,20231001,2023
solad001,Solano,Donovan,R,R,MIN,139,0,0,0,0,90,28,19,0,0,0,0,0,13,36,1,20230330,20231011,2023
solan001,Solak,Nick,R,R,ATL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20230426,20230426,2023
solan001,Solak,Nick,R,R,DET,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,20230610,20230610,2023
solej001,Soler,Jorge,R,R,MIA,139,0,0,0,0,0,0,0,0,0,0,32,32,104,4,0,20230330,20231004,2023
solej001,Soler,Jorge,R,R,NLS,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,20230711,20230711,2023
solop001,Solomon,Peter,R,R,ARI,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,20230409,20230430,2023
sorig001,Soriano,George,R,R,MIA,27,27,1,26,0,0,0,0,0,0,0,0,0,0,0,0,20230416,20231003,2023
sorij002,Soriano,Jose,R,R,ANA,38,38,0,38,0,0,0,0,0,0,0,0,0,0,0,0,20230603,20230930,2023
sorom001,Soroka,Michael,R,R,ATL,7,7,6,1,0,0,0,0,0,0,0,0,0,0,0,0,20230529,20230905,2023
sosae001,Sosa,Edmundo,R,R,PHI,106,0,0,0,0,0,4,82,19,0,1,0,1,1,7,6,20230401,20231020,2023
sosal001,Sosa,Lenyn,R,R,CHA,52,0,0,0,0,0,44,10,0,0,0,0,0,0,3,1,20230411,20231001,2023
sotog003,Soto,Gregory,L,L,PHI,74,74,0,74,0,0,0,0,0,0,0,0,0,0,0,0,20230330,20231023,2023
sotoj001,Soto,Juan,L,L,NLS,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,20230711,20230711,2023
sotoj001,Soto,Juan,L,L,SDN,162,0,0,0,0,0,0,0,0,154,0,0,154,7,2,0,20230330,20231001,2023
sotol001,Soto,Livan,L,R,ANA,4,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,20230518,20230603,2023
